Article name,Questionaire name, Questionnaire short form,Administer,Year of publish,Keywords,Target age,Target condition,Purpose of questionnaire,Scale,Validation,No. of qns,Scoring,Condition to use ,Credit,Shsrepoint link,Non-english version ,Notes
Validity and Reliability of the Student Refractive Error and Eyeglasses Questionnaire-Revised Version in Myopic Children,Student Refractive Error and Eyeglasses Questionnaire – Revised,SREEQ-R,Patient/Child,2014,"corrected vision, uncorrected vision, quality of life",7 - 18,Myopia,Comparison of the quality of life of children with and without spectacles,3,Yes,"10 items, repeated for w/ and w/o glasses",Not mentioned,To contact,"Hatt SR, Leske DA, Castañeda YS, Wernimont SM, Liebermann L, Cheng-Patel CS, Birch EE, Holmes JM. Validity and reliability of the Student Refractive Error and Eyeglasses Questionnaire–Revised version in myopic children. Optom Vis Sci. 2021;98(11):1278–1286.",SREEQ_R,,
Development of Pediatric Eye Questionnaires for Children with Eye Conditions,Pediatric Eye Questionnaire,PedEyeQ (child),Patient/Child,2019,"vision-related quality of life, child","""5 - 11 12 - 17""",Any,Measures the vision-related quality of life in children with eye conditions,3,Yes,"""age 5 - 11: 40 items age 12 - 17: 39 items (19 items repeated twice in both age range)""","""Each domain has its own score, an overall score summing all domains should NOT be reported. Scoring matrix available for download from www.pedig.net""",Free,"""Hatt SR, Leske DA, Castañeda YS, Wernimont SM, Liebermann L, Cheng-Patel CS, Birch EE, Holmes JM. Development of pediatric eye questionnaires for children with eye diseases. Am J Ophthalmol. 2019in press (https://doi.org/10.1016/j.ajo.2019.01.001)""",PedEyeQ,,
,,PedEyeQ (proxy),Proxy,2019,"vision-related quality of life, parent","""0 - 4 5 - 11 12 - 17""",Any,Measures how the parent perceive the child's vision affects the quality of life,3,Yes,"""age 0 - 4: 29 items age 5 - 11: 39 items age 12 - 17: 42 items""",,Free,,,,
,,PedEyeQ (parent),Caregiver/Parent,2019,"vision-related quality of life, parent",-,Any,Measures the impact of the child's conditions towards the family,3,Yes,35 items,,Free,,,,
Validity and Reliability of Children's Visual Function Questionnaire,Children's Visual Function Questionnaire,CVFQ,Proxy/Caregiver/Parent,2004,"health, daily living competence, social, personality, impact on family, attitude","""< 3 >= 3 - 7""",Congenital,Impact of visual impairment on the quality of life of young children and their families,5 or 6,Yes,"""age < 3: 35 items age >= 3: 40 items""",Score table available in questionnaire document,Free,"""Felius J, Stager DR Sr, Berry PM, Fawcett SL, Stager DR Jr, Salomão SR, Berezovsky A, Birch EE. Development of an instrument to assess vision-related quality of life in young children. American Journal of Ophthalmology, 2004; 138(3): 362-372""",CVFQ,,
Analysis and Modeling of Myopia-related Factors based on Questionnaire Survey,NA,AMMFQ,Patient/Child,2022,"myopia, risk factors, protective factors",6 - 18,Myopia,"Factors (environment, habits, parental vision, and demographic) that may contribute to myopia onset and progression","Nominal, Ordinal, Interval",No,20 items,NA,NA,"Xiao J, Liu M, Huang Q, Sun Z, Ning L, Duan J, et al. Analysis and modeling of myopia‑related factors based on questionnaire survey. Comput Biol Med. 2022;150:106162. doi:10.1016/j.compbiomed.2022.106162.",AMMFQ,,
Factors Associated with Myopia in School Children in China: The Beijing Childhood Eye Study,NA,FAMSCC,Patient/Child,2012,"myopia, environmental factors, behavioural, dietary, school children",7 - 18,Myopia,Factors that may contribute to myopia onset and progression,"Nominal, Ordinal, Interval",No,41 items,NA,NA,"You QS, Wu LJ, Duan JL, Luo YX, Liu LJ, et al. (2012) Factors Associated with Myopia in School Children in China: The Beijing Childhood Eye Study. PLoS ONE 7(12): e52668. doi:10.1371/journal.pone.0052668",FAMSCC,,
Prospective Comparison of Convergence Insufficiency and Normal Binocular Children on CIRS Symptoms Surveys,Convergence Insufficiency and Reading Study Symptom Survey,CIRS (parent),Caregiver/Parent,1999,"Convergence insufficiency, child, exophoria, symptoms, quality of life",-,Convergence Insufficiency,To identify the type and frequency of symptoms in children with convergence insufficiency,4,Yes,15 items,"""Never = 0 Sometimes = 1 Often = 2 Very often = 3""",To contact,"Borsting E, Rouse MW, De Land PN; Convergence Insufficiency and Reading Study (CIRS) Group. Prospective comparison of convergence insufficiency and normal binocular children on CIRS symptom surveys. Optom Vis Sci. 1999;76(4):221–228. doi:10.1097/00006324‑199904000‑00025.",CIRS,,
,,CIRS (child),Patient/Child,1999,"Convergence insufficiency, child, exophoria, symptoms, quality of life",8 - 13,Convergence Insufficiency,To identify the type and frequency of symptoms in children with convergence insufficiency,4,Yes,15 items,,To contact,,,,
Visual symptoms and compliance with spectacle wear in myopic children: Double-masked comparison between Progressive Addition Lenses and Single Vision.,NA,VSaCSC,Patient/Child,2008,"PAL, SVL, visual symptoms and compliance, child, adaptation",Mean age: 11.0 ± 1.6 years,Myopia,To find out the adaptation period of the children and if there is any visual diffculties,2 or 3,No,6 items,"""Yes/No responses for symptom questions. compliance scored as 3-category scale (at class only / usually / always)""",,,VSaCSC,,
Clouclip combined with a questionnaire on the influence factors of myopia in children,NA,CQIFoM,Patient/Child/Caregiver/Parent,2023,"Myopia, child, influence factors, clouclip, near work, outdoor time, near work distance, near work time",9 - 11,Myopia,To find the visual quality of life and the compliance of the Clouclip lenses,2,No,17 items,"Numeric input for visual behaviour (eg. near-work time spent, distance at which near work is done) Yes/No responses for paitents history and family histroy",Free,"""Zhang Y, Su M, Sun Y, Qi L, Gao L, Wu X, Li Y, Liu Y, Li W and Jin M (2023) Clouclip combined with a questionnaire on the influence factors of myopia in children. Front. Pediatr. 11:1228257. doi: 10.3389/fped.2023.1228257""",CQIFoM,,
Questionnaire Analysis on Incidence and Risk Factors of Dry Eye in Children From a Myopia Outpatient Clinic,Children's Dry Eye Questionnaire,CDEQ,Patient/Child,2022,"Dry eyes, child, risk factors",Mean age: 10.1 ± 2.5 years,Dry Eyes,To understand the factors of dry eyes in children,N/A,No,17 items,,,,,,
Developing the draft descriptive system for the child amblyopia treatment questionnaire : a mixed study,Child Amblyopia Treatment Questionnaire,CAT-Qol,Patient/Child,2013,"Amblyopia, quality of life",4 - 7,Amblyopia,To produce a self -complete patient reported outcome instrument for amblyopia children.,6,Yes,11 items,,Copyrighted,,,,
Development of 25-item Cardiff Visual Ability Questionnaire for Children,The Cardiff Visual Acuity Questionnaire for Children,CVAQC,Patient/Child,2010,Amblyopia,5 - 18,Visual Impairment,To asses self-reported visual ability in children and young people with visual impairment,4,Yes,25 items,,Copyrighted,,,,
Development of the Preverbal Visual Assessment questionnaire,The Preverbal Visual Assessment Questionnaire,PreViAs,Patient/Child,2014,Preverbal children,> 24 months,Visual Behaviour,To assess visual behaviour and assess the normative outcomes of paediatrics,2,Yes,30 items,,,,,,
The Amblyopia Treatment Index,The Amblyopia Treatment Index,ATI,Patient/Child,2002,"Amblyopia, child",3 - 6,Amblyopia,Comparing patching and atropine as treatments for moderate amblyopia in children,6,Yes,18 items each,,Free,Cite,,,
